scenario_id,theme_id,top_title,top_subtitle,title,text,image
tech_titans,ai,AI,Tech Titans,,AI touches most parts of life - it is well integrated into a number of sectors which sees an increase in efficiency.  The systems are well connected with each other.,
tech_titans,energy,Energy,Tech Titans,,"While Europe shows some progress to green tech - with a good mix of solar and wind in the electricity generation profile, there is still reliance on fossil power.",
tech_titans,parliament,NEWS,14.01.2035,Who makes the Policy here?,"Pressure builds on Governments as global tech corporations use their influence to create advantageous regulatory frameworks for innovation - which is utilised elsewhere before Europe. European start-ups suffer as large firms control the markets.  
As personalisation grows, there is pushback from some groups against the 'algorithmic' nature of what people see online, and mistrust in the news is growing as people want to know who is behind the stories they see.",
tech_titans,migration,Migration,Tech Titans,,Moderate migration with a balance of skilled workers moving in and out.,
tech_titans,housing,Housing,Tech Titans,,"Split between Areas: Distinct commercial and residential zones.
Building in Green Spaces: Prefer vertical development to preserve green spaces.",
tech_titans,transport,Transport,Tech Titans,,Transport has been a focus for innovation across all sectors - people have choice across a range of transport modes and systems,
tech_titans,court,Court,Tech Titans,,"Europe is open for innovation - especially in the technology space.  However, other regions like US and China are leading and Europe adopts other regulations and standards",
tech_titans,growth_trade,Growth & Trade,Tech Titans,,"Europe is a consumer in the world markets - with imports coming from diverse locations across the globe.  Imports are high, with tech products coming in at a steady pace",
stagnation_nation,ai,AI,Stagnation Nation,,Regulation has hampered AI integration - making it harder for systems to join together efficiently,
stagnation_nation,energy,Energy,Stagnation Nation,,Slowed growth in green tech has left a big reliance on fossil.  There is little innovation in the energy generation space - both electricity and gas struggle to keep up with targets,
stagnation_nation,parliament,NEWS,07.02.2035,Wading Through Red Tape,"Europe is metaphorically wrapped in red tape, as companies try to navigate a complicated regulatory framework which has slowed innovation, growth and transformation.  This, coupled with changing policies, have led to little to no investment in Europe. 
Local communities are demanding change as infrastructure ages and fails to keep up with modern life.  People are unable to keep up with the new opportunities that technology developments have offered and are labelling themselves 'Stuck in the dark ages'.",
stagnation_nation,migration,Migration,Stagnation Nation,,"Significant emigration, particularly of skilled workers, due to poor conditions and restrictive policies. ",
stagnation_nation,housing,Housing,Stagnation Nation,,"Split between Areas: Inconsistent with poor urban planning. 
Building in Green Spaces: Unregulated development threatens green spaces. ",
stagnation_nation,transport,Transport,Stagnation Nation,,"The transport infrastructure is ageing, with public transport neglected, driving personal vehicle use",
stagnation_nation,court,Court,Stagnation Nation,,Red Tape In the regulatory framework has slowed innovation - the key focus is on the economy and this makes things challenging for start ups and other new players.,
stagnation_nation,growth_trade,Growth & Trade,Stagnation Nation,,"Protectionist policies have led to difficult trade markets - meaning trade and its infrastructure are dated, and predominantly focused on internal/domestic activity.  EU trades within its member states rather than with other regions",
asleep_at_the_wheel,ai,AI,Asleep at the Wheel,,Pockets of high tech AI integration exist - with some sectors falling behind.  There is inconsistency for users and a lack of efficiency,
asleep_at_the_wheel,energy,Energy,Asleep at the Wheel,,There is a diverse mix across the generation profile but this has come from inconsistent energy policy rather than a strategic approach.  Pockets of innovation and investment make for sporadic upgrades and changes,
asleep_at_the_wheel,parliament,NEWS,28.03.2035,Which way is greenest?,"Europe stands at a green crossroads, as individual states disagree over the next steps in the sustainable tech revolution.  Unable to capitalise on a strong start - there is a risk of losing out on public investment as private money looks elsewhere for growth.",
asleep_at_the_wheel,migration,Migration,Asleep at the Wheel,,Higher emigration with skilled workers leaving for better opportunities.                                  ,
asleep_at_the_wheel,housing,Housing,Asleep at the Wheel,,"Split between Areas: Moderate inconsistencies; mixed-use zones.
Building in Green Spaces: Some unregulated green space building.",
asleep_at_the_wheel,transport,Transport,Asleep at the Wheel,,Investment in transport systems has been steady - but innovation has been slow and the system is broadly similar to today.  There is varying investment depending on location,
asleep_at_the_wheel,court,Court,Asleep at the Wheel,,"Policy encourages some innovation - especially in the sustainable tech space - due to a focus on climate activity.  However, the region tends to follow other players in terms of regulation and is not as open as other regions",
asleep_at_the_wheel,growth_trade,Growth & Trade,Asleep at the Wheel,,Europe is a global player - importing and exporting across the world markets.  AI and new tech supports efficient trade activity and growth is steady across the region,
cost_of_safety,ai,AI,Cost of Safety,,AI integration has been steady - with a strong focus on controlled integration.  Regulation and safety concerns drive the pace and rollout,
cost_of_safety,energy,Energy,Cost of Safety,,"Europe has signalled its green intention, utilising nuclear as part of a renewable generation transition.  Delivering on targets, there is steady investment in tech and innovation in this space",
cost_of_safety,parliament,NEWS,09.04.2035,European Safety — but at what Cost,"Europe secures energy security and low carbon electricity with strong investment in sustainable tech and energy networks - leading the way on green jobs. 
But some are worried that skills are being lost to other regions as regulation and high taxes are drawing companies away.",
cost_of_safety,migration,Migration,Cost of Safety,,"Balanced migration due to security and opportunities, with moderate levels in and out.                            ",
cost_of_safety,housing,Housing,Cost of Safety,,"Split between Areas: Clear division with 15-minute city planning. 
Building in Green Spaces: Regulated to protect with urban re-use. ",
cost_of_safety,transport,Transport,Cost of Safety,,"Tech innovation has been strong, seeing particularly steady investement in public and active transport.  Systems are well maintained and efficient.",
cost_of_safety,court,Court,Cost of Safety,,"Restrictions are placed on global firms, with a focus on support for local businesses - especially in the fields of sustainable and social tech and services.  ",
cost_of_safety,growth_trade,Growth & Trade,Cost of Safety,,"Europe plays in global markets with import and export - predominantly focused around sustainable tech.  However, Euroepan trade is stronger than international ties and focus is on growth in the region",
leading_lagging,ai,AI,Leading & Lagging,,"While adoption of AI is progressing, there has been lilttle to no coordination - leading to uneven adoption",
leading_lagging,energy,Energy,Leading & Lagging,,Fossil fuels are still in use but investment in efficient generation see emissions fall.  An unclear policy direction means a diverse mix is not efficiently connected or run,
leading_lagging,parliament,NEWS,20.05.2035,Europe’s Technological see-saw,"While Europe leads in areas of data and privacy, it lags behind in technology integration and struggles to benefit from overseas innovation due to strict regulation and standards.  
While other regions are benefitting from Data monetisation, Europe collects data but cannot effectively use it – raising concerns amongst the people that their data is unsafe.",
leading_lagging,migration,Migration,Leading & Lagging,,"Increased migration out of Europe, following the direction of other global powers.                                  ",
leading_lagging,housing,Housing,Leading & Lagging,,"Split between Areas: Inconsistent with urbanization variances. 
Building in Green Spaces: Development intrudes green spaces due to lax policies. ",
leading_lagging,transport,Transport,Leading & Lagging,,New technology has been integrated into the transport sector but the systems operate poorly together.  There is still a preference for private transprot although public transport grows in popularity,
